B,n,freq
5,74,0,0738
51,NA,0,0738
52,NA,0,0738
7,123,0,1227
8,103,0,1025
12,122,0,1217
44,NA,0,1217
45,NA,0,1217
13,32,0,0322
14,24,0,0236
64,NA,0,0236
65,NA,0,0236
15,76,0,0758
62,NA,0,0758
63,NA,0,0758
75,NA,0,0758
76,NA,0,0758
77,NA,0,0758
70,2,0,0023
16,45,0,0454
38,NA,0,0454
39,NA,0,0454
17,45,0,0453
57,NA,0,0453
58,NA,0,0453
18,54,0,054
21,23,0,0232
49,NA,0,0232
50,NA,0,0232
22,25,0,0252
54,NA,0,0252
55,NA,0,0252
56,NA,0,0252
27,48,0,0483
35,103,0,1027
37,14,0,014
40,68,0,0684
60,NA,0,0684
61,NA,0,0684
41,11,0,0111
42,0,4e-04
46,0,2e-04
47,3,0,0034
48,1,8e-04
53,3,0,0027
59,0,1e-04
67,0,2e-04
73,0,2e-04
703,0,1e-04
70,NA,1e-04
71,NA,1e-04
72,NA,1e-04
78,0,2e-04
81,0,1e-04
2708,0,1e-04
82,0,1e-04
83,0,1e-04
